learning evaluation instances,classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),classified instances of class 0,classified instances of class 1,recall (true positive) for class 0 (percent),recall (true positive) for class 1 (percent),incorrect classifications (false positive) for class 0 (percent),incorrect classifications (false positive) for class 1 (percent),size of class 0,size of class 1,training queue size,time stamp
71.0,71.0,61.16855002151931,-3.261507306315123,-182.10611348577822,-467.0617836734334,67.0,4.0,63.534393333626646,25.37814064007224,36.46560666637335,74.62185935992777,0.9351987458934622,0.06480125410653782,1488.0,1.232382233E9
72.0,72.0,61.92254612444194,-3.00192082620396,-182.10611348577805,-467.0617836734332,68.0,4.0,64.27090247042018,25.37814064007224,35.72909752957981,74.62185935992777,0.9389909056024046,0.0610090943975954,1484.0,1.232401435E9
73.0,73.0,62.65500410473075,-2.7509962122867893,-182.10611348577805,-467.0617836734332,69.0,4.0,64.98525158591706,25.37814064007224,35.01474841408294,74.62185935992777,0.9396009965463805,0.06039900345361945,1485.0,1.232406776E9
74.0,74.0,63.366798388366085,-2.5083190914206726,-182.10611348577808,-467.06178367343244,70.0,4.0,65.67839149219674,25.37814064007224,34.32160850780326,74.62185935992777,0.8320706840728013,0.1679293159271987,1475.0,1.232467435E9
75.0,75.0,64.05875678022372,-2.2735010828571935,-182.106113485778,-467.06178367343324,71.0,4.0,66.35121944844715,25.37814064007224,33.64878055155285,74.62185935992777,0.8612620681587747,0.13873793184122524,1477.0,1.232553118E9
76.0,76.0,62.85942236569132,-5.448942530270889,-158.38650634540429,-358.9943558371453,71.0,5.0,66.35121944844715,20.19997975880412,33.64878055155285,79.80002024119588,0.8667288962376669,0.1332711037623329,1473.0,1.232562713E9
77.0,77.0,63.548770768712224,-5.158664208168008,-128.34392576822765,-358.99435583714603,72.0,5.0,67.0045828798418,20.19997975880412,32.9954171201582,79.80002024119588,0.8667288962376669,0.1332711037623329,1474.0,1.232567001E9
78.0,78.0,62.379284004736135,-5.46967345118731,-140.0883629744342,-382.60186092840945,73.0,5.0,65.71568258712117,20.19997975880412,34.284317412878835,79.80002024119588,0.8667288962376669,0.1332711037623329,1477.0,1.232574437E9
79.0,79.0,63.065848108127945,-5.19258273485472,-140.08836297443426,-382.60186092840985,74.0,5.0,66.36914044855095,20.19997975880412,33.630859551449056,79.80002024119588,0.8667288962376669,0.1332711037623329,1478.0,1.232577162E9
80.0,80.0,63.734367633509095,-4.924170121653073,-140.0883629744342,-382.60186092840985,75.0,5.0,67.00438810554579,20.19997975880412,32.99561189445421,79.80002024119588,0.8667288962376669,0.1332711037623329,1479.0,1.2325772E9
81.0,81.0,64.38551227739383,-4.664047152586375,-140.08836297443432,-382.6018609284094,76.0,5.0,67.62214553423493,20.19997975880412,32.377854465765076,79.80002024119588,0.8667288962376669,0.1332711037623329,1480.0,1.232577236E9
82.0,82.0,65.01991908269018,-4.411848185668142,-140.08836297443432,-382.6018609284097,77.0,5.0,68.22309532260336,20.19997975880412,31.77690467739665,79.80002024119588,0.8667288962376669,0.1332711037623329,1481.0,1.232579099E9
83.0,83.0,65.63819440569377,-4.1672287445682095,-140.08836297443438,-382.6018609284101,78.0,5.0,68.80788506709108,20.19997975880412,31.192114932908904,79.80002024119588,0.8667288962376669,0.1332711037623329,1482.0,1.232584371E9
84.0,84.0,64.48687131312528,-4.477390776725863,-152.56280251910124,-407.6767444575893,79.0,5.0,67.55216670374786,20.19997975880412,32.447833296252135,79.80002024119588,0.8667288962376669,0.1332711037623329,1483.0,1.232587078E9
85.0,85.0,65.10512545764627,-4.242945054395871,-152.56280251910127,-407.67674445758945,80.0,5.0,68.13948248071121,20.19997975880412,31.860517519288784,79.80002024119588,0.8613308538897885,0.13866914611021133,1480.0,1.232636425E9
86.0,86.0,65.70814840938002,-4.015286501710852,-152.56280251910135,-407.6767444575896,81.0,5.0,68.71153386877,20.19997975880412,31.288466131230003,79.80002024119588,0.8627175453508906,0.1372824546491092,1483.0,1.232643513E9
87.0,87.0,64.5808452319759,-4.298687023752805,-165.41908655594645,-433.5191739861971,82.0,5.0,67.48756386453407,20.19997975880412,32.51243613546593,79.80002024119588,0.8627175453508906,0.1372824546491092,1484.0,1.232649953E9
88.0,88.0,65.18418625788823,-4.080308313993243,-165.41908655594648,-433.5191739861971,83.0,5.0,68.06222339722089,20.19997975880412,31.937776602779117,79.80002024119588,0.8654494661984079,0.13455053380159193,1483.0,1.232660209E9
89.0,89.0,64.08157443932325,-4.33278346895647,-178.53640523449468,-459.8863095117639,84.0,5.0,66.86838175915814,20.19997975880412,33.13161824084187,79.80002024119588,0.8654494661984079,0.13455053380159193,1484.0,1.232662231E9
90.0,90.0,64.68497364627017,-4.123295847190544,-178.53640523449462,-459.8863095117631,85.0,5.0,67.44517578011575,20.19997975880412,32.55482421988427,79.80002024119588,0.8654494661984079,0.13455053380159193,1485.0,1.232662266E9
91.0,91.0,65.27422981212095,-3.919528711149157,-178.53640523449477,-459.88630951176236,86.0,5.0,68.00776001208999,20.19997975880412,31.992239987910015,79.80002024119588,0.869445751602849,0.13055424839715085,1491.0,1.232723592E9
92.0,92.0,65.84980569110427,2.3442973379256102,-145.3657919873198,-340.2513592965493,86.0,6.0,68.00776001208999,33.83638166762231,31.992239987910015,66.1636183323777,0.869445751602849,0.13055424839715085,1493.0,1.232726856E9
93.0,93.0,66.4121441478121,2.573542480766736,-119.01952045406208,-340.25135929654914,87.0,6.0,68.55662578693958,33.83638166762231,31.44337421306042,66.1636183323777,0.869445751602849,0.13055424839715085,1494.0,1.232729705E9
94.0,94.0,66.96166921505775,2.796526654756609,-119.01952045406203,-340.25135929654954,88.0,6.0,69.0922421160164,33.83638166762231,30.907757883983606,66.1636183323777,0.869445751602849,0.13055424839715085,1497.0,1.232729899E9
95.0,95.0,67.49878708492126,3.0134920865143124,-119.01952045406202,-340.2513592965493,89.0,6.0,69.61505694403921,33.83638166762231,30.384943055960782,66.1636183323777,0.869445751602849,0.13055424839715085,1498.0,1.232729924E9
96.0,96.0,66.40825517111523,2.413507474258788,-130.08574720595942,-362.4955928685453,90.0,6.0,68.44558279543992,33.83638166762231,31.554417204560064,66.1636183323777,0.869445751602849,0.13055424839715085,1499.0,1.232730008E9
97.0,97.0,66.94765339779217,2.623175450052609,-130.08574720595948,-362.49559286854475,91.0,6.0,68.9720905406522,33.83638166762231,31.027909459347786,66.1636183323777,0.869445751602849,0.13055424839715085,1500.0,1.232730038E9
98.0,98.0,67.47519469465824,2.8273649106308847,-130.08574720595948,-362.49559286854526,92.0,6.0,69.48637477865343,33.83638166762231,30.513625221346558,66.1636183323777,0.869445751602849,0.13055424839715085,1501.0,1.232730081E9
99.0,99.0,66.40461929201605,2.2670398771504825,-141.49071284221927,-385.4207258141585,93.0,6.0,68.34216867540816,33.83638166762231,31.657831324591818,66.1636183323777,0.869445751602849,0.13055424839715085,1502.0,1.232730098E9
100.0,100.0,65.35717438882682,1.7598346542077938,-153.01088015157296,-408.577425759222,94.0,6.0,67.22403434131013,33.83638166762231,32.77596565868985,66.1636183323777,0.869445751602849,0.13055424839715085,1503.0,1.232730126E9
101.0,101.0,64.33216958634736,1.300060672673629,-164.64741278728349,-431.96803176433735,95.0,6.0,66.13114528574404,33.83638166762231,33.868854714255946,66.1636183323777,0.869445751602849,0.13055424839715085,1504.0,1.232730175E9
102.0,102.0,64.88839158598829,1.4938181010427678,-164.6474127872836,-431.96803176433656,96.0,6.0,66.67834129540697,33.83638166762231,33.32165870459301,66.1636183323777,0.869445751602849,0.13055424839715085,1505.0,1.232730203E9
103.0,103.0,63.882119122004724,1.0685301138270227,-176.52021417052032,-455.8335618175091,97.0,6.0,65.60765624359698,33.83638166762231,34.39234375640301,66.1636183323777,0.869445751602849,0.13055424839715085,1506.0,1.232730227E9
104.0,104.0,64.43915789003324,1.255521800964961,-176.52021417052038,-455.83356181750895,98.0,6.0,66.15658494284719,33.83638166762231,33.8434150571528,66.1636183323777,0.8707512940868205,0.12924870591317933,1507.0,1.232736422E9
105.0,105.0,64.98464748218996,1.4379527851154676,-176.5202141705202,-455.8335618175091,99.0,6.0,66.69355156985073,33.83638166762231,33.30644843014925,66.1636183323777,0.8707512940868205,0.12924870591317933,1508.0,1.232736763E9
106.0,106.0,65.51891668323579,1.6159790255718853,-176.5202141705204,-455.8335618175091,100.0,6.0,67.21891667281261,33.83638166762231,32.781083327187375,66.1636183323777,0.8707512940868205,0.12924870591317933,1509.0,1.232736886E9
107.0,107.0,66.04228200038996,1.7897494747486822,-176.52021417052012,-455.83356181750895,101.0,6.0,67.73302653381955,33.83638166762231,32.26697346618043,66.1636183323777,0.8707512940868205,0.12924870591317933,1510.0,1.232737188E9
